OID_,FIRE_ID,FIRE_TYPE,IG_DATE,LATITUDE,LONGITUDE,ACRES,US_L4CODE,ECO_US_ID,SECTION
0,AL3377308564120120131,Wildfire,1/31/2012 0:00:00,33.752000000000002,-85.626999999999995,1422.000000000000000,45d,103,Southern Ridge and Valley Section
1,FL3035908459920120212,Wildfire,2/12/2012 0:00:00,30.356000000000002,-84.599000000000004,859.000000000000000,75a,100,Florida Coastal Lowlands (Western) Section
2,FL2854908180920120217,Wildfire,2/17/2012 0:00:00,28.545999999999999,-81.795000000000002,1095.000000000000000,75c,99,"Coastal Plains and Flatwoods, Lower Section"
3,UT3714711329520120522,Wildfire,5/22/2012 0:00:00,37.145000000000003,-113.280000000000001,1952.000000000000000,20h,56,Grand Canyon Lands Section
4,NV3874311953520120522,Wildfire,5/22/2012 0:00:00,38.776000000000003,-119.477999999999994,7224.000000000000000,13x,32,Mono Section
5,FL2800108148320120522,Wildfire,5/22/2012 0:00:00,28.006000000000000,-81.471999999999994,939.000000000000000,75d,99,"Coastal Plains and Flatwoods, Lower Section"
6,MI4663708543320120524,Wildfire,5/23/2012 0:00:00,46.622000000000000,-85.412999999999997,21484.000000000000000,50x,115,Northern Great Lakes Section
7,UT4130811247020120524,Wildfire,5/24/2012 0:00:00,41.302000000000000,-112.477000000000004,4450.000000000000000,13d,49,Bonneville Basin Section
8,CA3306611643120120524,Wildfire,5/24/2012 0:00:00,33.052999999999997,-116.450000000000003,5371.000000000000000,81b,6,Southern California Mountains and Valleys Section
9,CO3843610898920120525,Wildfire,5/25/2012 0:00:00,38.457999999999998,-108.997000000000000,5905.000000000000000,20c,42,Northern Canyon Lands Section
10,FL2984108222220120525,Wildfire,5/25/2012 0:00:00,29.821999999999999,-82.247000000000000,2301.000000000000000,75d,99,"Coastal Plains and Flatwoods, Lower Section"
11,AZ3178311160920120530,Wildfire,5/30/2012 0:00:00,31.776000000000000,-111.606999999999999,1627.000000000000000,79b,36,Sonoran Mojave Desert Section
12,UT4018911192120120531,Wildfire,5/31/2012 0:00:00,40.173000000000002,-111.930000000000007,1809.000000000000000,13c,49,Bonneville Basin Section
13,CA3614911850520120601,Wildfire,6/1/2012 0:00:00,36.167000000000002,-118.472999999999999,1876.000000000000000,5m,10,Sierra Nevada Section
14,NV3887411963420120601,Wildfire,6/1/2012 0:00:00,38.872999999999998,-119.603999999999999,1102.000000000000000,13x,32,Mono Section
