OID_,FIRE_ID,RASTERVALU
1,TX2686809829320110612,65
2,TX2698209813720170122,75
3,TX2672909780020110102,8
4,TX2712109753920170403,5
5,TX2708809759120180311,6
6,FL2615908147820120404,4
7,FL2705108206620170513,9
8,FL2610108128120130312,4
9,FL2594808134220190326,2
10,FL2642308125420200414,8
11,FL2687008220320150405,1
12,FL2688008127320150426,9
13,FL2611508160020150509,3
14,FL2656508173120150528,8
15,FL2701008144020140501,17
16,FL2616508154620200513,4
17,FL2685408155520110412,17
18,FL2689308170620110218,13
19,FL2699708117020110218,6
20,FL2633308119620110420,6
21,FL2702308128720110425,13
22,FL2616808157120110426,4
23,FL2687808155520110428,19
24,FL2687308154420110502,15
25,FL2685608158920110330,12
26,FL2611508146420110512,3
27,FL2706008126820110514,12
28,FL2694808135020110202,15
29,FL2594708128120110207,2
30,FL2620308116120110613,5
31,FL2624308122420110613,5
32,FL2613408158120170305,3
33,FL2594608131020160506,2
34,FL2618808154420170420,4
35,FL2615508143020160715,4
36,FL2595108122020170318,2
37,FL2687008164220170221,13
38,FL2620008116020180331,5
39,FL2610008151020180608,3
40,FL2616308144920180212,4
41,FL2624508122220180430,5
42,FL2614008162020180321,4
43,FL2602608156620180321,2
44,FL2695408110920120402,5
45,FL2633208064020120505,4
46,FL2641408080620120514,4
47,FL2616008100120111026,4
48,FL2710308092320110921,5
49,FL2632608054720110818,4
50,FL2573308053320110801,2
51,FL2540608041220170514,2
52,FL2633208084220170519,4
53,FL2545608036420130403,2
54,FL2622808103920140422,5
55,FL2538008041020140424,1
56,FL2710008093020140424,5
57,FL2636608070120130513,4
58,FL2656008107020190421,8
59,FL2633508087320140522,4
60,FL2623308059120140607,3
61,FL2599008048420140627,4
62,FL2628608106620150624,6
63,FL2575408045320150419,2
64,FL2678408039920150627,6
65,FL2607808111620150508,4
66,FL2574708088120200507,2
67,FL2563608053120200324,2
68,FL2623908094820200410,5
69,FL2565208050520200419,2
70,FL2543508041220200430,2
71,FL2638608047820200621,4
72,FL2694308032420110422,8
73,FL2707908016820110518,5
74,FL2590308056720110119,2
75,FL2693608045920110530,7
76,FL2540708107120110531,1
77,FL2580408046920110605,2
78,FL2692808045720110607,8
79,FL2576608041720170305,2
80,FL2633308076420170306,4
81,FL2620608045520160704,3
82,FL2622108097820170330,5
83,FL2633408066820170401,4
84,FL2601108043920170405,4
85,FL2693608111620170410,5
86,FL2638008071020180604,4
87,FL2601008090020180410,3
88,FL2654008044020180629,5
89,FL2628508101720180303,5
90,FL2617008072020181130,3
91,FL2634008064020190119,4
92,FL2523008087020180726,1
93,FL2630008117020180321,6
94,TX2716609835320110618,94
95,TX2732809807020110225,37
96,TX2764309801220110101,45
97,TX2710109802320110607,27
98,TX2734809861620110615,153
99,TX2783809987320181214,141
100,TX2881109562920171016,2
101,TX2892509693720170818,36
102,TX2884109573020130215,2
103,TX2736709735620120714,2
104,TX2820709700120190820,2
105,TX2844009721620190825,22
106,TX2837609710420190825,16
107,TX2846709731320190825,32
108,TX2703009739020140519,2
109,TX2712409737720200623,1
110,TX2722009737020180414,2
111,TX2832009645020180415,2
112,FL2854908180920120217,30
113,FL2800108148320120522,18
114,FL2785808134920120604,18
115,FL2751208127720120120,21
116,FL2877408225220170708,13
117,FL2712808123720170513,11
118,FL2760608127020170517,23
119,FL2810908116820130326,24
120,FL2857008259320130329,3
121,FL2760808118620140414,19
122,FL2858008245420130527,46
123,FL2767208193520150203,47
124,FL2878608235820150505,29
125,FL2785108200820200505,48
126,FL2777708137620110226,24
127,FL2752708125520110114,21
128,FL2774808211820160425,37
129,FL2745608113620170306,12
130,FL2810008117320170311,23
131,FL2825908262120170506,12
132,FL2847308200020170416,28
133,FL2891208145820170416,14
134,FL2873808148720160710,11
135,FL2770108130720161116,36
136,FL2836608188020170402,32
137,FL2777708136520170215,26
138,FL2751908119020180204,16
139,FL2755008114020180422,17
140,FL2769908195820180312,45
141,FL2856108089320120223,4
142,FL2865808074720120506,1
143,FL2854308064720120511,2
144,FL2785708054020110728,7
145,FL2833008077620170626,4
146,FL2808408112620170626,25
147,FL2852808070920170708,1
148,FL2881308082820170515,4
149,FL2841408093820170526,7
150,FL2818808080420130316,4
151,FL2846408065320130401,2
152,FL2867508073220130512,1
153,FL2845808085120130112,5
154,FL2861908074420191120,1
155,FL2869308075220150721,1
156,FL2862008074020140501,1
157,FL2859408089120200502,4
158,FL2805008077820200322,6
159,FL2867608098920110221,4
160,FL2845308084220110415,5
161,FL2855408085420110226,4
162,FL2709208059520110418,9
163,FL2874208096620110228,8
164,FL2871408098020110429,3
165,FL2850308070820110430,2
166,FL2741508075420110314,17
167,FL2839508110620110514,23
168,FL2833108109320110527,22
169,FL2763608102220110529,21
170,FL2833908089420110530,7
171,FL2835908106420110530,24
172,FL2884308102420110613,7
173,FL2774108083520170310,15
174,FL2856608096020170315,2
175,FL2831808094220160530,15
176,FL2856508090820160927,3
177,FL2852608089320160627,4
178,FL2802208097320170501,18
179,FL2880508083620170504,1
180,FL2867508074220170421,1
181,FL2879608081120170319,4
182,FL2846208085020170327,5
183,FL2799908078720170215,6
184,FL2865008102620160219,2
185,FL2788008060020180429,9
186,FL2783908058120190308,8
187,TX3060110420720120424,2198
188,TX3069610431620120424,1827
189,TX3039410392420110806,1540
190,TX3014210426520110807,1651
191,TX2923110333020110810,1192
192,TX2945310297920110922,1450
193,TX3003310418920110819,1589
194,TX3028810412620110721,1456
195,TX3042610382020110730,1589
196,TX3015310450720110704,1698
197,TX3009510451420190718,1782
198,TX3003910417220110426,1493
199,TX3022610377920110301,1554
200,TX3049210278920110307,1212
201,TX3031810302720110322,1302
202,TX3005610426920110323,1619
