ID,Latitude,Longitude
NC3399807818720160419,33.999,-78.173
PA4121407518220160420,41.199,-75.149
PA4117207522020160420,41.181,-75.222
NC3589008280820160421,35.908,-82.791
NY4167407435120160423,41.681,-74.343
MN4897009694020180515,48.984,-96.944
AZ3495111328920180515,34.878,-113.312
TX3076510415220180516,30.788,-104.15
CA3363011706020180517,33.643,-117.048
NM3317010361120180518,33.193,-103.574
NM3221210467920180522,32.229,-104.725
NM3372410853720180522,33.697,-108.513
LA3093109314220180523,30.941,-93.142
OK3694010296020180524,36.943,-102.971
CO3792810853320180526,37.941,-108.52
CO3846910432320180527,38.494,-104.315
NM3655310510320180531,36.533,-105.028
TX3054209556620190317,30.542,-95.568
OK3675009632420190317,36.739,-96.353
AR3486509304620171121,34.857,-93.048
FL3049008666020171121,30.537,-86.703
MO3664709285620171123,36.658,-92.852
MT4829210785320171123,48.309,-107.738
KS3942309938920171124,39.397,-99.387
KS3895809903920171124,38.923,-99.01
AR3555809325120171125,35.576,-93.26
TN3607008440520171126,36.073,-84.417
KY3660408431520171128,36.614,-84.311
WV3783408177320171128,37.835,-81.774
KY3725208427620171202,37.263,-84.287
CA3442911910020171205,34.459,-119.303
CA3433411833820171205,34.294,-118.352
FL2997008528020180327,29.986,-85.261
FL2620008116020180331,26.205,-81.159
NM3316110373620180331,33.166,-103.73
TX3506710118520180402,35.07,-101.117
NC3459007840020180402,34.601,-78.392
WA4628011933020180811,46.142,-119.141
UT4022411190520180811,40.232,-111.92
MT4864311391620180811,48.63,-113.936
MT4831111365120180811,48.314,-113.649
MT4857711552620180811,48.584,-115.521
WA4860211814020180811,48.632,-118.154
WA4898011805120180811,48.981,-118.052
WA4870812037220180811,48.703,-120.355
MT4588911352320180811,45.884,-113.507
MT4515311193120180811,45.145,-111.894
WA4784011934020180811,47.94,-119.166
WY4446210893620180812,44.461,-108.926
MT4862011510220180812,48.622,-115.105
WY4381010781320180813,43.787,-107.783
ID4292911199020180813,42.928,-111.948
NV4006311484620180813,40.116,-114.835
CA4139512105720180815,41.425,-121.013
OR4265012082720180815,42.597,-120.743
OR4473612136820180816,44.708,-121.371
ID4298011230820180816,42.981,-112.302
OK3650209638020190318,36.498,-96.374
GA3339508220620190318,33.397,-82.205
CA3445311858120171205,34.43,-118.635
KS3923309686820171206,39.234,-96.874
CA3334911719120171207,33.299,-117.203
CO3755210300420171208,37.51,-102.999
SD4377610344820171211,43.669,-103.394
NV3722511487520171212,37.231,-114.898
