ID,Latitude,Longitude
NV4047611738820190722,40.488,-117.413
NV4064811732520190722,40.663,-117.351
NV4013411644020190722,40.121,-116.46
NV4116511680820190722,41.162,-116.831
ID4239411551020190722,42.379,-115.566
ID4371511252320190722,43.626,-112.726
NV4057511751220190723,40.583,-117.508
NV4164111779920190723,41.629,-117.796
AZ3337311029920190723,33.405,-110.307
ID4229111562520190723,42.275,-115.635
ID4295911436620190723,42.956,-114.38
ID4288211440220190723,42.887,-114.374
WA4770712016520190723,47.711,-120.148
WA4682812052320190723,46.807,-120.525
NM3295410827320200606,32.944,-108.248
AZ3195511118320200712,31.954,-111.184
NM3331510856220200628,33.319,-108.492
AZ3574111380520200818,35.764,-113.784
AZ3340211129720200531,33.388,-111.302
AZ3343511035820200606,33.5,-110.346
AZ3347911029820200713,33.482,-110.205
CA3714111902520200908,37.127,-119.022
AZ3652211386520200510,36.558,-113.855
AZ3338811039120200713,33.399,-110.267
ID4576011519320200818,45.78,-115.122
MT4659111379920200819,46.605,-113.776
AZ3324911096720201021,33.236,-110.961
AZ3309311057520200821,33.125,-110.54
AZ3286311053420200824,32.859,-110.534
AZ3340511138520200820,33.45,-111.425
TX2971509390520191224,29.716,-93.9
LA2977909384620191224,29.783,-93.834
TX2972109398520191224,29.72,-93.988
WA4836011949320200907,48.211,-119.517
WA4805611948420200907,47.834,-119.647
WA4770711826020200907,47.614,-118.569
MT4571710705620200902,45.658,-107.007
AZ3358211070120200818,33.524,-110.64
AZ3362611156220200613,33.811,-111.364
AZ3237811092720200606,32.443,-110.727
CA3572011963220190507,35.707,-119.617
WA4693312099320190723,46.915,-120.975
MT4743511435720190723,47.459,-114.359
OR4245011723920190723,42.455,-117.233
TX3095710045720190723,30.966,-100.437
AZ3634811228620190725,36.336,-112.321
NV3616411427620190725,36.165,-114.256
OR4292012329520190725,42.864,-123.287
CA3628411822820190725,36.287,-118.209
CA3782611887220190726,37.835,-118.904
UT3758811232020190726,37.584,-112.304
UT3783510979920190726,37.819,-109.792
AZ3423611014020190726,34.239,-110.132
MT4675311196320190726,46.765,-111.944
CA4172612124320190728,41.799,-121.234
CA3424811795920200906,34.325,-117.936
CA3792911898320200817,37.933,-118.984
CA3788211964320200811,37.883,-119.618
CA4009112093120200817,39.725,-121.127
CO4060910587920200813,40.62,-105.551
NV3630611561820200628,36.337,-115.588
AZ3662811235020200608,36.756,-112.208
CA3415711791120200813,34.194,-117.908
AZ3584010937820200627,35.898,-109.318
CO4026410779020200707,40.288,-107.781
AZ3404711254320200820,34.04,-112.552
AZ3414711211820201025,34.137,-112.127
CO4062810679620200906,40.636,-106.762
CO3933610852620200731,39.41,-108.536
WY4389210640120200614,43.949,-106.343
TX3185709976920200614,31.844,-99.779
AZ3633111257320200716,36.313,-112.585
VA3662308297320200409,36.628,-82.98
FL2642308125420200414,26.43,-81.236
NM3327110340420200109,33.283,-103.414
OR4333412278820200908,43.366,-122.898
OR4246712268320200908,42.536,-122.679
OR4316012207020200908,43.201,-122.131
OR4265312186920200908,42.626,-121.911
CA4121212284720200914,41.236,-122.855
CA4169912147720200722,41.737,-121.456
CA4190412319120200909,41.93,-123.238
CA4118512343320200728,41.114,-123.409
CA4185812335420200908,41.932,-123.539
OR4257212055720200908,42.619,-120.577
CA4173712105820200723,41.725,-121.062
NV4083911966720200812,40.884,-119.593
CA4136412109120200722,41.359,-121.073
CO3844710247720200615,38.517,-102.678
NV4180711966720200727,41.8,-119.661
CA4102912028120200818,41.115,-120.105
AL3039808817220190514,30.411,-88.173
AZ3530911140720190516,35.314,-111.391
SC3308107972120190519,33.079,-79.719
AZ3378211242020190524,33.799,-112.429
SC3320907951020190526,33.208,-79.513
OR4517811742720190728,45.185,-117.429
CO3936910778720190728,39.385,-107.79
TX3312809957020190729,33.132,-99.586
ID4319611377420190801,43.216,-113.794
MT4750210822520190801,47.488,-108.271
WY4301310696720200814,43.021,-106.909
CA3530111559820200815,35.302,-115.589
OR4250212055220200721,42.505,-120.54
