ID,Latitude,Longitude
ID4319911326420120710,43.22,-113.261
ID4343111288420120710,43.459,-112.893
ID4343711606320120710,43.416,-116.03
CA4079212335020120711,40.792,-123.335
AZ3400611200320120711,34.026,-112.025
AZ3409111206020120711,34.088,-112.033
AZ3620311378020120711,36.208,-113.793
AZ3660111368320120711,36.617,-113.662
ID4273111262120120711,42.737,-112.648
ID4329011275020120711,43.323,-112.791
CA3905112090020120711,39.055,-120.887
ID4314911552920120711,43.181,-115.479
UT4124111395620120711,41.222,-113.994
NV4145611441220120712,41.523,-114.415
UT3812411301020120712,38.125,-113.04
MT4740911286820120712,47.383,-112.889
UT4168411381420120712,41.701,-113.807
WA4794611964120120713,47.937,-119.653
OR4497512084120120713,44.964,-120.827
WY4465510549020120713,44.666,-105.47
ID4294111360220120713,42.927,-113.572
OR4487212099520120714,44.844,-120.988
OR4477112100620120714,44.781,-121.01
TX2736709735620120714,27.383,-97.328
CO4056810518720130315,40.568,-105.176
FL2818808080420130316,28.183,-80.794
OR4236712381420130726,42.359,-123.81
OR4273212351520130726,42.718,-123.518
OR4285712358520130726,42.812,-123.595
AZ3591311201420130726,35.916,-112.037
ID4242311555520130727,42.43,-115.559
WA4729912010620130727,47.18,-120.135
MT4717911397520130727,47.186,-113.961
WA4822512060220130728,48.223,-120.583
ID4321511470020130728,43.199,-114.665
ID4287511688620130729,42.872,-116.862
TX2956409435020130730,29.578,-94.362
OR4380111810220130731,43.783,-118.1
ID4298711401020130731,42.97,-114.011
ID4270211406820130731,42.729,-114.035
ID4236411513020130731,42.384,-115.09
OR4450012161420130731,44.49,-121.592
CA4133312337620130731,41.278,-123.392
CA4130012313520130731,41.314,-123.203
ID4275411432420130801,42.74,-114.246
ID4557211499520130801,45.581,-114.981
ID4297811589920130801,42.967,-115.881
AZ3589811315620130801,35.912,-113.175
CA3824712003420130805,38.25,-120.016
WY4239610486020120714,42.43,-104.863
MT4590310493520120714,45.913,-104.92
MT4578810653320120714,45.803,-106.541
WA4775011968520120715,47.774,-119.713
WY4408710485420120717,44.067,-104.846
CA3510511831220120717,35.119,-118.301
OR4381811996920120718,43.848,-119.897
MT4542011067820120718,45.436,-110.656
SD4309610116620120719,43.176,-101.086
SD4360210355020120719,43.569,-103.546
MO3739609357320120719,37.397,-93.561
ID4619311517320120720,46.184,-115.158
NE4284210010820120720,42.803,-100.095
ID4444611680020120720,44.471,-116.787
ID4619011508620120721,46.2,-115.099
WY4217210691820120721,42.179,-106.908
NV4057111617920120721,40.556,-116.169
AZ3662211386620120721,36.614,-113.873
UT3711811378420120721,37.122,-113.799
NE4337110402520120721,43.376,-104.055
AZ3662311255220120721,36.625,-112.552
OK3588509864020120722,35.889,-98.637
OK3638809626920130317,36.386,-96.276
MS3111308914320130325,31.074,-89.114
FL2810908116820130326,28.101,-81.156
OK3511309497820130327,35.105,-94.961
CA3361811742120130805,33.637,-117.393
ID4277311180620130805,42.781,-111.809
ID4355611604320130806,43.551,-116.025
OR4239411714320130807,42.378,-117.139
OR4265911735820130807,42.652,-117.363
OR4254611719320130807,42.554,-117.202
OR4448711902320130807,44.463,-118.968
ID4345711455020130807,43.603,-114.507
